heading,hs_code,code_format,description,duty_rate
02.06,020629000000,02.06.29.00.00.00,,
02.06,020630000000,02.06.30.00.00.00,,
02.06,020641000000,02.06.41.00.00.00,,
02.06,020649000000,02.06.49.00.00.00,,
02.06,020680100000,02.06.80.10.00.00,,
02.06,020680200000,02.06.80.20.00.00,,
02.06,020680900000,02.06.80.90.00.00,,
02.06,020690110000,02.06.90.11.00.00,,
02.06,020690120000,02.06.90.12.00.00,,
02.06,020690190000,02.06.90.19.00.00,,
02.06,020690910000,02.06.90.91.00.00,,
02.06,020690990000,02.06.90.99.00.00,,
02.07,020711000000,02.07.11.00.00.00,,
02.07,020712000002,02.07.12.00.00.02,,
02.07,020712000003,02.07.12.00.00.03,,
02.07,020712009999,02.07.12.00.99.99,,
02.07,020713000001,02.07.13.00.00.01,,
02.07,020713000002,02.07.13.00.00.02,,
02.07,020713000003,02.07.13.00.00.03,,
02.07,020713000004,02.07.13.00.00.04,,
02.07,020713000008,02.07.13.00.00.08,,
02.07,020713000009,02.07.13.00.00.09,,
02.07,020713000010,02.07.13.00.00.10,,
02.07,020713000011,02.07.13.00.00.11,,
02.07,020713009999,02.07.13.00.99.99,,
02.07,020714000015,02.07.14.00.00.15,,
02.07,020714000016,02.07.14.00.00.16,,
02.07,020714000017,02.07.14.00.00.17,,
02.07,020714000018,02.07.14.00.00.18,,
02.07,020714009999,02.07.14.00.99.99,,
02.07,020724000001,02.07.24.00.00.01,,
02.07,020724000003,02.07.24.00.00.03,,
02.07,020724000004,02.07.24.00.00.04,,
02.07,020724000005,02.07.24.00.00.05,,
02.07,020725000001,02.07.25.00.00.01,,
02.07,020725000002,02.07.25.00.00.02,,
02.07,020726000000,02.07.26.00.00.00,,
02.07,020727000000,02.07.27.00.00.00,,
02.07,020741000001,02.07.41.00.00.01,,
02.07,020741000002,02.07.41.00.00.02,,
02.07,020742000000,02.07.42.00.00.00,,
02.07,020743000001,02.07.43.00.00.01,,
02.07,020743000002,02.07.43.00.00.02,,
02.07,020744000000,02.07.44.00.00.00,,
02.07,020745000000,02.07.45.00.00.00,,
02.07,020751000001,02.07.51.00.00.01,,
02.07,020751000002,02.07.51.00.00.02,,
02.07,020752000000,02.07.52.00.00.00,,
02.07,020753000001,02.07.53.00.00.01,,
02.07,020753000002,02.07.53.00.00.02,,
02.07,020754000000,02.07.54.00.00.00,,
02.07,020755000000,02.07.55.00.00.00,,
02.07,020760100001,02.07.60.10.00.01,,
02.07,020760100002,02.07.60.10.00.02,,
02.07,020760200001,02.07.60.20.00.01,,
02.07,020760200002,02.07.60.20.00.02,,
02.08,020810100000,02.08.10.10.00.00,,
02.08,020810200000,02.08.10.20.00.00,,
02.08,020830000001,02.08.30.00.00.01,,
02.08,020830000002,02.08.30.00.00.02,,
02.08,020830000003,02.08.30.00.00.03,,
02.08,020840100000,02.08.40.10.00.00,,
02.08,020840200000,02.08.40.20.00.00,,
02.08,020840300000,02.08.40.30.00.00,,
02.08,020840400000,02.08.40.40.00.00,,
02.08,020850000000,02.08.50.00.00.00,,
02.08,020860100001,02.08.60.10.00.01,,
02.08,020860100002,02.08.60.10.00.02,,
02.08,020860100010,02.08.60.10.00.10,,
02.08,020860109999,02.08.60.10.99.99,,
02.08,020860200001,02.08.60.20.00.01,,
02.08,020860200002,02.08.60.20.00.02,,
02.08,020860200010,02.08.60.20.00.10,,
02.08,020860209999,02.08.60.20.99.99,,
02.08,020890210001,02.08.90.21.00.01,,
02.08,020890210002,02.08.90.21.00.02,,
02.08,020890220001,02.08.90.22.00.01,,
02.08,020890220002,02.08.90.22.00.02,,
02.08,020890310000,02.08.90.31.00.00,,
02.08,020890320000,02.08.90.32.00.00,,
02.08,020890910000,02.08.90.91.00.00,,
02.08,020890990000,02.08.90.99.00.00,,
02.09,020910000000,02.09.10.00.00.00,,
02.09,020990000000,02.09.90.00.00.00,,
02.10,021011000000,02.10.11.00.00.00,,
02.10,021012000000,02.10.12.00.00.00,,
02.10,021019000000,02.10.19.00.00.00,,
02.10,021020000000,02.10.20.00.00.00,,
16.04,021091000000,02.10.91.00.00.00,,
16.04,021092000000,02.10.92.00.00.00,,
03.01,030111000000,03.01.11.00.00.00,,
03.01,030119000000,03.01.19.00.00.00,,
03.01,030191000000,03.01.91.00.00.00,,
03.01,030192000000,03.01.92.00.00.00,,
03.01,030193000000,03.01.93.00.00.00,,
03.01,030194000000,03.01.94.00.00.00,,
03.09,030211000000,03.02.11.00.00.00,,
03.09,030213000000,03.02.13.00.00.00,,
03.02,030214000000,03.02.14.00.00.00,,
03.02,030219000000,03.02.19.00.00.00,,
03.02,030221000000,03.02.21.00.00.00,,
03.02,030222000000,03.02.22.00.00.00,,
03.02,030223000000,03.02.23.00.00.00,,
03.02,030224000000,03.02.24.00.00.00,,
03.02,030229000000,03.02.29.00.00.00,,
03.04,030199100000,03.01.99.10.00.00,,
03.04,030199900000,03.01.99.90.00.00,,
02.91,030195000000,03.01.95.00.00.00,,
02.91,030231000000,03.02.31.00.00.00,,
02.91,030232000000,03.02.32.00.00.00,,
02.91,030233000000,03.02.33.00.00.00,,
02.91,030234000000,03.02.34.00.00.00,,
02.91,030239910000,03.02.39.91.00.00,,
02.91,030239920000,03.02.39.92.00.00,,
02.91,030239930000,03.02.39.93.00.00,,
02.91,030239940000,03.02.39.94.00.00,,
02.91,030239990000,03.02.39.99.00.00,,
02.91,030235000000,03.02.35.00.00.00,,
02.91,030236000000,03.02.36.00.00.00,,
02.91,030239100000,03.02.39.10.00.00,,
02.91,030239200000,03.02.39.20.00.00,,
02.91,030241000000,03.02.41.00.00.00,,
02.91,030242000000,03.02.42.00.00.00,,
02.91,030243000000,03.02.43.00.00.00,,
02.99,030244100000,03.02.44.10.00.00,,
02.99,030244200000,03.02.44.20.00.00,,
02.99,030244900000,03.02.44.90.00.00,,
02.99,030245100000,03.02.45.10.00.00,,
02.99,030245200000,03.02.45.20.00.00,,
