hs_code,code_format,description,duty_rate,efta,sg,usa,chapter,heading
020422000000,02.04.22.00.00.00,,,,,,2,02.04
020423000001,02.04.23.00.00.01,,,,,,2,02.04
020423000002,02.04.23.00.00.02,,,,,,2,02.04
020423000003,02.04.23.00.00.03,,,,,,2,02.04
020423000004,02.04.23.00.00.04,,,,,,2,02.04
020430000001,02.04.30.00.00.01,,,,,,2,02.04
020430000002,02.04.30.00.00.02,,,,,,2,02.04
020441000001,02.04.41.00.00.01,,,,,,2,02.04
020441000002,02.04.41.00.00.02,,,,,,2,02.04
020442000000,02.04.42.00.00.00,,,,,,2,02.04
020443100001,02.04.43.10.00.01,,,,,,2,02.04
020443100002,02.04.43.10.00.02,,,,,,2,02.04
020443100003,02.04.43.10.00.03, A,,,,,2,02.04
020443900000,02.04.43.90.00.00, A,,,,,2,02.04
020450110001,02.04.50.11.00.01,,,,,,2,01.05
020450110002,02.04.50.11.00.02,,,,,,2,01.05
020450110003,02.04.50.11.00.03,,,,,,2,01.05
020450110004,02.04.50.11.00.04,,,,,,2,01.05
020450120001,02.04.50.12.00.01,,,,,,2,01.05
020450120002,02.04.50.12.00.02,,,,,,2,01.05
020450210001,02.04.50.21.00.01,,,,,,2,01.05
020450210003,02.04.50.21.00.03,,,,,,2,01.05
020450210004,02.04.50.21.00.04,,,,,,2,01.05
020450210005,02.04.50.21.00.05,,,,,,2,01.05
020450210006,02.04.50.21.00.06,,,,,,2,01.05
020450210007,02.04.50.21.00.07,,,,,,2,01.05
020450210009,02.04.50.21.00.09,,,,,,2,01.05
020450210010,02.04.50.21.00.10,,,,,,2,01.05
020450210012,02.04.50.21.00.12,,,,,,2,01.05
020450220001,02.04.50.22.00.01,,,,,,2,01.05
020450220003,02.04.50.22.00.03,,,,,,2,01.05
020450220004,02.04.50.22.00.04,,,,,,2,01.05
020450220006,02.04.50.22.00.06,,,,,,2,01.05
020450220007,02.04.50.22.00.07,,,,,,2,01.05
020450220008,02.04.50.22.00.08,,,,,,2,01.05
020450310001,02.04.50.31.00.01,,,,,,2,01.05
020450310002,02.04.50.31.00.02, . طازجة أو مبردة أو مجمدة،لحوم فصائل الخيول والحمير والبغال والنغال,,,,,2,01.05
020450320000,02.04.50.32.00.00, . طازجة أو مبردة أو مجمدة،لحوم فصائل الخيول والحمير والبغال والنغال لحوم فصيلة الخيل- - غيرها- - -,,,,,2,01.05
020500100000,02.05.00.10.00.00, أحشاء وأطراف صالحة لألكل من فصائل األبقار والخنازير والضأن والماعز والخيل,,,,,2,02.05
020500900000,02.05.00.90.00.00, أحشاء وأطراف صالحة لألكل من فصائل األبقار والخنازير والضأن والماعز والخيل . طازجة أو مبردة أو مجمدة،والحمير والبغال والنغال,,,,,2,02.05
020610000000,02.06.10.00.00.00,,,,,,2,02.06
020621000000,02.06.21.00.00.00,,,,,,2,02.06
020622000000,02.06.22.00.00.00,,,,,,2,02.06
020629000000,02.06.29.00.00.00,,,,,,2,02.06
020630000000,02.06.30.00.00.00,,,,,,2,02.06
020641000000,02.06.41.00.00.00,,,,,,2,02.06
020649000000,02.06.49.00.00.00,,,,,,2,02.06
020680100000,02.06.80.10.00.00,,,,,,2,02.06
020680200000,02.06.80.20.00.00,,,,,,2,02.06
020680900000,02.06.80.90.00.00,,,,,,2,02.06
020690110000,02.06.90.11.00.00,,,,,,2,02.06
020690120000,02.06.90.12.00.00,,,,,,2,02.06
020690190000,02.06.90.19.00.00, 02.07,,,,,2,02.06
020690910000,02.06.90.91.00.00, 02.07,,,,,2,02.06
020690990000,02.06.90.99.00.00, 02.07,,,,,2,02.06
020711000000,02.07.11.00.00.00,,,,,,2,02.07
020712000002,02.07.12.00.00.02,,,,,,2,02.07
020712000003,02.07.12.00.00.03,,,,,,2,02.07
020712009999,02.07.12.00.99.99,,,,,,2,02.07
020713000001,02.07.13.00.00.01,,,,,,2,02.07
020713000002,02.07.13.00.00.02,,,,,,2,02.07
020713000003,02.07.13.00.00.03,,,,,,2,02.07
020713000004,02.07.13.00.00.04,,,,,,2,02.07
020713000008,02.07.13.00.00.08,,,,,,2,02.07
020713000009,02.07.13.00.00.09,,,,,,2,02.07
020713000010,02.07.13.00.00.10,,,,,,2,02.07
020713000011,02.07.13.00.00.11,,,,,,2,02.07
020713009999,02.07.13.00.99.99,,,,,,2,02.07
020714000015,02.07.14.00.00.15,,,,,,2,02.07
020714000016,02.07.14.00.00.16,,,,,,2,02.07
020714000017,02.07.14.00.00.17,,,,,,2,02.07
020714000018,02.07.14.00.00.18,,,,,,2,02.07
020714009999,02.07.14.00.99.99,,,,,,2,02.07
020724000001,02.07.24.00.00.01,,,,,,2,02.07
020724000003,02.07.24.00.00.03,,,,,,2,02.07
020724000004,02.07.24.00.00.04,,,,,,2,02.07
020724000005,02.07.24.00.00.05,,,,,,2,02.07
020725000001,02.07.25.00.00.01,,,,,,2,02.07
020725000002,02.07.25.00.00.02,,,,,,2,02.07
020726000000,02.07.26.00.00.00,,,,,,2,02.07
020727000000,02.07.27.00.00.00,,,,,,2,02.07
020741000001,02.07.41.00.00.01,,,,,,2,02.07
020741000002,02.07.41.00.00.02,,,,,,2,02.07
020742000000,02.07.42.00.00.00,,,,,,2,02.07
020743000001,02.07.43.00.00.01,,,,,,2,02.07
020743000002,02.07.43.00.00.02,,,,,,2,02.07
020744000000,02.07.44.00.00.00,,,,,,2,02.07
020745000000,02.07.45.00.00.00,,,,,,2,02.07
020751000001,02.07.51.00.00.01, B,,,,,2,02.07
020751000002,02.07.51.00.00.02, B,,,,,2,02.07
020752000000,02.07.52.00.00.00,,,,,,2,02.07
020753000001,02.07.53.00.00.01,,,,,,2,02.07
020753000002,02.07.53.00.00.02,,,,,,2,02.07
020754000000,02.07.54.00.00.00, : لحوم لألكل من دجاج غينيا طازجة أو مبردة أو مجمدة- - لحوم لألكل من دجاج غينيا طازجة أو مبردة,,,,,2,02.07
020755000000,02.07.55.00.00.00, : لحوم لألكل من دجاج غينيا طازجة أو مبردة أو مجمدة- - لحوم لألكل من دجاج غينيا طازجة أو مبردة لحوم لألكل من دجاج غينيا مجمدة,,,,,2,02.07
020760100001,02.07.60.10.00.01,,,,,,2,02.07
020760100002,02.07.60.10.00.02,,,,,,2,02.07
